EID	aperture	FoV	pixel_scale	tracking_accuracy	limiting_magnitude	elevation_limit	mount_type	camera_type_colored_mono	camera_type_cooled_uncooled	Johnson_B	Johnson_V	Johnson_R	SDSS_u	SDSS_g	SDSS_r	SDSS_i	SDSS_z
26	3.368304190744010	226.61645701015900	2.7932096991856500	0.8399672087480210	10.367366181839000	21.90071842108750	german	mono	cooled	y	y	y	y	n	y	y	y
27	9.467560578198460	478.8826468783230	0.18906940663660900	0.18756054290980000	14.009303280366200	24.874247649649800	fork	mono	cooled	y	y	y	y	n	y	y	y
28	1.3609162613769300	41.05273323352880	2.0492448520390300	0.6852762793284620	13.816670586435300	29.379780016450800	german	mono	uncooled	y	n	n	y	y	y	y	y
29	9.618050533459650	302.87837922423800	1.797797895453880	0.325474384880235	14.327599141007400	34.874938429149300	fork	colored	cooled	y	y	y	n	y	y	y	n
30	1.510077166576780	75.86611682778270	0.6349817989900630	0.5059837489068600	8.451050841958690	31.79555652127760	fork	mono	cooled	y	y	n	y	y	y	n	n
31	4.414277909529460	469.4851238782270	2.2025187149102200	0.82592410234149	15.41740723827250	25.443372341434100	fork	colored	cooled	y	y	n	y	n	y	y	y
32	7.792867677382230	160.85028328597100	0.7562487029661450	0.8793366469453550	23.131180279267400	17.279833618480200	theodolite	mono	cooled	y	n	y	y	n	y	y	y
33	0.26804809767767700	318.67882153710100	0.8997657116509630	0.5134034480047700	17.634090694690300	26.108949301431400	german	mono	cooled	n	y	y	y	y	y	y	y
34	0.9179816694798530	214.41881446148200	2.910252959483120	0.2883656769358640	8.61003142867837	14.23625092700690	german	mono	cooled	n	y	y	y	y	n	y	y
35	9.941851875362440	302.1229854247220	1.767712313589620	0.9208714473949350	23.47600613483650	15.91015731053700	fork	mono	cooled	y	y	y	y	y	y	y	y
36	1.0321550409170800	565.5203397766070	1.7681439072301500	0.36881093886278600	16.762367548463900	19.86476980131440	fork	colored	uncooled	y	y	n	n	y	y	y	y
37	0.8149566805926890	428.3920828366900	0.5213980638135350	0.954659857674838	8.396098245698800	33.719576809503900	fork	colored	cooled	y	n	y	y	n	n	y	n
38	6.648473150310970	61.54935675094090	2.9305272141071300	0.3868331888839140	11.109474820122900	23.5729261306875	fork	mono	cooled	y	y	y	y	y	y	n	y
39	7.423078464865920	110.26093860330400	0.15069201003110100	0.2241411703690550	18.981012377310200	18.809612187105700	fork	mono	cooled	n	y	y	y	y	y	y	y
40	6.964154138175720	427.17217515069500	2.067163950810940	0.37696623255800700	15.362372381258600	29.782238312359900	german	mono	cooled	y	y	y	n	y	y	y	y
41	4.494218209462960	5.6254358539173400	0.4974922525600850	0.5852553126388530	10.606283670527400	16.385496309856300	german	mono	cooled	y	n	y	y	n	y	n	y
42	8.722340602413220	136.92228641379400	0.9084074377608690	0.3295953513768820	9.441206797495270	19.542215176640700	fork	mono	cooled	y	y	y	y	y	y	y	y
43	2.8932252631537700	305.4950812181320	2.631561166669800	0.11900652441472600	19.481775364423900	23.168406746781200	fork	mono	cooled	n	n	y	y	y	y	y	y
44	1.2464185567920400	194.71516499498600	1.4599187047750700	0.21525884709456200	16.59384530699850	28.63246443769800	theodolite	mono	cooled	y	n	y	y	y	y	y	y
45	7.565661665587270	460.66916375148600	1.0277758348959100	0.32597329085733500	16.32793051594810	24.81223491695090	fork	mono	cooled	y	y	y	y	y	n	y	y
46	8.437923001593610	102.89637337633500	1.1767289194654600	0.4121792716090490	24.609575822776900	15.785541500398900	theodolite	colored	cooled	y	y	y	y	y	y	y	y
47	6.094263030430690	594.1105598649470	0.23324593893000000	0.546782299011353	15.499516660383400	12.64690276384930	german	mono	cooled	y	y	y	y	y	y	y	y
48	1.266014324558330	217.7255308589410	1.9803056261779500	0.8872173342328320	23.665804506070600	26.654052502524800	theodolite	mono	cooled	y	y	y	y	y	y	y	y
49	6.034327918975910	305.04561825716900	1.0070882716582300	0.28635690205077300	18.30947970200690	22.55653103138000	fork	mono	cooled	y	y	y	y	n	y	y	y
50	4.379769094147050	124.73265049776400	1.6883015915171300	0.9787515790406890	18.12173593675020	23.109676343409600	german	mono	cooled	n	y	y	y	y	n	y	y
51	5.308855295452900	185.26188691357300	1.554417473448320	0.4556439258005390	20.31901343646880	14.105429269445200	fork	mono	cooled	y	n	y	y	y	y	y	y
52	0.4460200063089600	466.52523452675700	0.5753680708510050	0.9095168231878420	8.785047393211030	16.041044963873800	fork	mono	cooled	y	y	n	y	y	y	y	y
53	3.438261865715080	579.2702518080010	0.8643999382103290	0.7906815700571950	24.69482791557000	30.710750390447000	fork	mono	uncooled	y	y	y	y	y	n	y	y
54	6.261229323425400	139.58667238233100	1.2734639501888900	0.3702357144924770	15.74891960950460	21.700633669214700	german	mono	cooled	n	y	n	y	y	n	n	y
55	7.284546304376280	457.2194081471900	2.8958823923106800	0.8914454705466550	13.622235566988200	26.893137579677200	fork	colored	cooled	y	n	y	y	n	y	n	y
56	2.6090955563778700	331.7640894109480	1.014824617677760	0.22835096743123000	12.702037654805900	18.74468051515330	fork	mono	uncooled	y	y	y	y	n	y	n	y
57	5.102802362703340	31.488578193428000	0.7514663047533290	0.8156076415553250	10.470660989608500	27.84084542274330	theodolite	mono	cooled	y	y	y	y	y	y	y	y
