PID	TID	Johnson_B	Johnson_V	Johnson_R	SDSS_u	SDSS_g	SDSS_r	SDSS_i	SDSS_z
0	126	y	y	y	n	y	y	y	y
0	246	n	y	y	n	y	n	n	y
0	271	n	y	y	n	y	n	n	y
0	272	n	y	y	n	y	n	n	n
0	282	n	y	n	n	y	n	n	n
0	349	n	y	n	n	y	n	n	n
0	426	n	n	n	n	y	n	n	n
0	570	n	n	n	n	n	n	n	n
0	607	n	n	n	n	n	n	n	n
0	619	n	n	n	n	n	n	n	n
0	673	n	n	n	n	n	n	n	n
0	978	n	n	n	n	n	n	n	n
0	1034	n	n	n	n	n	n	n	n
0	1073	n	n	n	n	n	n	n	n
0	1090	n	n	n	n	n	n	n	n
0	1205	n	n	n	n	n	n	n	n
0	1404	n	n	n	n	n	n	n	n
0	1534	n	n	n	n	n	n	n	n
0	1556	n	n	n	n	n	n	n	n
0	1744	n	n	n	n	n	n	n	n
0	1894	n	n	n	n	n	n	n	n
0	2581	n	n	n	n	n	n	n	n
0	2586	n	n	n	n	n	n	n	n
0	2656	n	n	n	n	n	n	n	n
0	2657	n	n	n	n	n	n	n	n
0	2838	n	n	n	n	n	n	n	n
0	2912	n	n	n	n	n	n	n	n
0	3003	n	n	n	n	n	n	n	n
0	3058	n	n	n	n	n	n	n	n
0	3068	n	n	n	n	n	n	n	n
0	3303	n	n	n	n	n	n	n	n
0	3393	n	n	n	n	n	n	n	n
0	3493	n	n	n	n	n	n	n	n
0	3588	n	n	n	n	n	n	n	n
0	3594	n	n	n	n	n	n	n	n
0	3748	n	n	n	n	n	n	n	n
0	3755	n	n	n	n	n	n	n	n
0	3829	n	n	n	n	n	n	n	n
0	4072	n	n	n	n	n	n	n	n
0	4436	n	n	n	n	n	n	n	n
0	4622	n	n	n	n	n	n	n	n
0	4642	n	n	n	n	n	n	n	n
0	4679	n	n	n	n	n	n	n	n
0	4808	n	n	n	n	n	n	n	n
0	4846	n	n	n	n	n	n	n	n
0	4862	n	n	n	n	n	n	n	n
0	4896	n	n	n	n	n	n	n	n
0	4975	n	n	n	n	n	n	n	n
0	5003	n	n	n	n	n	n	n	n
0	5143	n	n	n	n	n	n	n	n
0	5182	n	n	n	n	n	n	n	n
0	5239	n	n	n	n	n	n	n	n
0	5315	n	n	n	n	n	n	n	n
0	5526	n	n	n	n	n	n	n	n
0	5529	n	n	n	n	n	n	n	n
0	5588	n	n	n	n	n	n	n	n
0	5705	n	n	n	n	n	n	n	n
0	5720	n	n	n	n	n	n	n	n
0	5763	n	n	n	n	n	n	n	n
0	5778	n	n	n	n	n	n	n	n
0	5915	n	n	n	n	n	n	n	n
0	5926	n	n	n	n	n	n	n	n
0	5976	n	n	n	n	n	n	n	n
0	6016	n	n	n	n	n	n	n	n
0	6186	n	n	n	n	n	n	n	n
0	6310	n	n	n	n	n	n	n	n
0	6327	n	n	n	n	n	n	n	n
0	6557	n	n	n	n	n	n	n	n
0	6765	n	n	n	n	n	n	n	n
0	6915	n	n	n	n	n	n	n	n
0	6956	n	n	n	n	n	n	n	n
0	7025	n	n	n	n	n	n	n	n
0	7118	n	n	n	n	n	n	n	n
0	7207	n	n	n	n	n	n	n	n
0	7253	n	n	n	n	n	n	n	n
0	7303	n	n	n	n	n	n	n	n
0	7313	n	n	n	n	n	n	n	n
0	7407	n	n	n	n	n	n	n	n
0	7468	n	n	n	n	n	n	n	n
0	7540	n	n	n	n	n	n	n	n
0	7550	n	n	n	n	n	n	n	n
0	7856	n	n	n	n	n	n	n	n
0	7978	n	n	n	n	n	n	n	n
0	8073	n	n	n	n	n	n	n	n
0	8184	n	n	n	n	n	n	n	n
0	8353	n	n	n	n	n	n	n	n
0	8408	n	n	n	n	n	n	n	n
0	8424	n	n	n	n	n	n	n	n
0	8433	n	n	n	n	n	n	n	n
0	8489	n	n	n	n	n	n	n	n
0	8516	n	n	n	n	n	n	n	n
0	8639	n	n	n	n	n	n	n	n
0	8732	n	n	n	n	n	n	n	n
0	8738	n	n	n	n	n	n	n	n
0	8811	n	n	n	n	n	n	n	n
0	8846	n	n	n	n	n	n	n	n
0	8951	n	n	n	n	n	n	n	n
0	8977	n	n	n	n	n	n	n	n
0	9064	n	n	n	n	n	n	n	n
0	9146	n	n	n	n	n	n	n	n
0	9220	n	n	n	n	n	n	n	n
0	9386	n	n	n	n	n	n	n	n
0	9632	n	n	n	n	n	n	n	n
0	9877	n	n	n	n	n	n	n	n
0	9947	n	n	n	n	n	n	n	n
1	19	y	n	y	y	y	y	y	y
1	110	y	n	y	y	y	n	y	n
1	230	n	n	y	y	y	n	y	n
1	236	n	n	n	y	y	n	y	n
1	268	n	n	n	y	n	n	n	n
1	280	n	n	n	n	n	n	n	n
1	321	n	n	n	n	n	n	n	n
1	416	n	n	n	n	n	n	n	n
1	463	n	n	n	n	n	n	n	n
1	526	n	n	n	n	n	n	n	n
1	750	n	n	n	n	n	n	n	n
1	1129	n	n	n	n	n	n	n	n
1	1292	n	n	n	n	n	n	n	n
1	1452	n	n	n	n	n	n	n	n
1	1458	n	n	n	n	n	n	n	n
1	1502	n	n	n	n	n	n	n	n
1	1624	n	n	n	n	n	n	n	n
1	1733	n	n	n	n	n	n	n	n
1	1822	n	n	n	n	n	n	n	n
1	2048	n	n	n	n	n	n	n	n
1	2141	n	n	n	n	n	n	n	n
1	2290	n	n	n	n	n	n	n	n
1	2498	n	n	n	n	n	n	n	n
1	2560	n	n	n	n	n	n	n	n
1	2618	n	n	n	n	n	n	n	n
1	2738	n	n	n	n	n	n	n	n
1	2749	n	n	n	n	n	n	n	n
1	2794	n	n	n	n	n	n	n	n
1	2796	n	n	n	n	n	n	n	n
1	2954	n	n	n	n	n	n	n	n
1	2963	n	n	n	n	n	n	n	n
1	3030	n	n	n	n	n	n	n	n
1	3133	n	n	n	n	n	n	n	n
1	3183	n	n	n	n	n	n	n	n
1	3230	n	n	n	n	n	n	n	n
1	3241	n	n	n	n	n	n	n	n
1	3258	n	n	n	n	n	n	n	n
1	3267	n	n	n	n	n	n	n	n
1	3509	n	n	n	n	n	n	n	n
1	3946	n	n	n	n	n	n	n	n
1	3971	n	n	n	n	n	n	n	n
1	3988	n	n	n	n	n	n	n	n
1	4023	n	n	n	n	n	n	n	n
1	4032	n	n	n	n	n	n	n	n
1	4268	n	n	n	n	n	n	n	n
1	4334	n	n	n	n	n	n	n	n
1	4356	n	n	n	n	n	n	n	n
1	4657	n	n	n	n	n	n	n	n
1	4727	n	n	n	n	n	n	n	n
1	4924	n	n	n	n	n	n	n	n
1	4983	n	n	n	n	n	n	n	n
1	5118	n	n	n	n	n	n	n	n
1	5183	n	n	n	n	n	n	n	n
1	5222	n	n	n	n	n	n	n	n
1	5400	n	n	n	n	n	n	n	n
1	5609	n	n	n	n	n	n	n	n
1	5692	n	n	n	n	n	n	n	n
1	5697	n	n	n	n	n	n	n	n
1	5745	n	n	n	n	n	n	n	n
