UID	EID	site	longitude	latitude	altitude	time_zone	daylight_saving	water_vapor	light_pollution(m/sas)
0	290	Mauna Kea Observatory	-149.16516867345888	-34.2700226516922	3776.692422423208	UTC-9	n	4.306448033280428	21.42987733195118
0	520	Large Millimeter Telescope	-0.4276902283019409	-37.447114779545295	1482.0296392977689	UTC+0	n	5.497075603306909	20.136896789357145
2	186	Plateau Observatory	-114.19511113812969	61.244717631839315	3555.6066043269707	UTC-7	n	3.6609628109996217	19.962710115283887
3	1704	Plateau Observatory	31.146428888980864	23.33759399064087	3871.004658997711	UTC+2	n	3.6208373944974865	20.91651912123916
3	1620	Large Millimeter Telescope	159.00356529321238	-20.525254568193763	790.0759292792839	UTC+10	n	1.1731674658884803	24.865936646002034
3	332	Mount Graham International Observatory	-30.187326251394577	-11.72695029953276	2387.8076526956493	UTC-2	n	7.99961167604981	21.257945528211703
4	114	Llano de Chajnantor Observatory	-82.33097541524613	-34.818404584001144	4199.904214898947	UTC-5	n	2.1568940353813058	16.656708598514285
5	51	Peak Terskol Observatory	-119.1842660154827	60.51382387598128	1582.9370809790523	UTC-7	n	6.921857946126196	15.53637696069638
5	1689	Receiver Lab Telescope	-21.658150996377802	-37.64734822538928	256.8403613651729	UTC-1	n	1.912919580724041	23.8020728462136
6	498	Yangbajing International Cosmic Ray Observatory	-95.04378027238684	31.13160329864429	1068.5059786609531	UTC-6	n	3.0070029621884315	20.32857088804567
6	852	Large Latin American Millimeter Array	-149.9116669738171	41.28951459720368	1958.5409130893756	UTC-9	n	6.839639562868272	22.339589160990954
6	435	Receiver Lab Telescope	-127.4696489186796	61.085763990094854	4488.4947384890165	UTC-8	n	7.451501375166643	24.87533841423377
6	727	Yangbajing International Cosmic Ray Observatory	-130.75729553004038	20.842276731156414	4299.709575514275	UTC-8	n	6.998455334338013	15.042031141833615
7	559	Large Latin American Millimeter Array	55.44260323908003	21.21870291927381	3372.996431873581	UTC+3	n	0.4469349845993476	15.769818680540626
7	932	Haleakala Observatory	65.29685329430072	31.78216196838889	3133.1614084162597	UTC+4	n	3.8343403192323535	19.38123333013589
7	666	Llano de Chajnantor Observatory	-102.5075919017782	-62.19158232007223	1963.9958852750376	UTC-6	y	0.8324125823902273	20.75527556222472
8	190	Large Latin American Millimeter Array	173.02439618839162	-53.66849235789622	3499.4832496411896	UTC+11	n	1.7868962379088893	24.47220148023836
8	376	Sphinx Observatory	-31.894878004048227	46.573930704747646	1007.9701550951253	UTC-2	y	1.6880892940065628	16.865475391817178
9	1253	Llano del Hato National Astronomical Observatory	-110.973198071426	39.37677256083175	4379.791328729195	UTC-7	n	3.6798192884523138	24.27262445842968
9	1866	University of Tokyo Atacama Observatory	129.60732521869915	3.2256421167171254	3574.0621413724602	UTC+8	n	6.8343267601023365	24.506421660992277
9	160	High Altitude Water Cherenkov Gamma-Ray Observatory	151.7876459151368	9.508199985308408	2807.0920916042796	UTC+10	n	1.6395940842245582	23.45676982138617
9	745	James Ax Observatory	71.22913538175865	25.290352667426877	4663.352494678401	UTC+4	n	0.2590606818559016	23.900718419401997
10	1280	Gornergrat Observatory	52.857141474484365	-23.583110032591573	2755.961911060233	UTC+3	n	8.02960548713168	21.975129150201848
10	1011	University of Tokyo Atacama Observatory	-99.10901441894272	24.30458280006617	2766.165217501546	UTC-6	n	0.03053794404187848	19.53146847582145
10	81	Large Latin American Millimeter Array	-127.78442458471004	-36.4440971008251	4790.088055177175	UTC-8	n	2.529381095896576	15.735454658265072
11	1320	Chacaltaya Astrophysical Observatory	179.95918191490986	24.296072499748767	1983.6320529157665	UTC+11	n	5.2547951374215565	23.456625292570077
11	622	Shiquanhe Observatory 	-78.47571431029223	52.308438736774825	560.7130104078041	UTC-5	y	8.621958333932957	16.37400619025656
11	1319	Shiquanhe Observatory 	79.85076804735144	4.273146303476125	5035.292202167982	UTC+5	n	5.995501463036642	23.070197490982853
12	1378	Barcroft Observatory	-13.81306137268666	1.7882141247922334	4075.678911449743	UTC+0	n	3.058521170011107	24.411423682420896
12	408	Peak Terskol Observatory	97.44124272988701	69.20899224936082	474.916893339398	UTC+6	n	7.62666506288687	16.278581105222074
12	866	Large Latin American Millimeter Array	-118.62231896562264	45.80905391091139	489.01490880331033	UTC-7	y	0.3086430513011895	19.225473034630802
12	1521	Magdalena Ridge Observatory	45.43249260989475	56.96852712558704	348.8339670136371	UTC+3	n	4.838771939469355	24.570003817725052
13	1384	Large Latin American Millimeter Array	69.9781448547667	21.89670551659495	114.92509857346819	UTC+4	n	8.008038992452509	23.15294077806891
14	418	Yangbajing International Cosmic Ray Observatory	-99.16426030252714	13.931068982163564	2773.30311195355	UTC-6	n	6.246400223900976	17.50755327097561
14	1687	Magdalena Ridge Observatory	-156.53628208196682	39.434004295346206	2033.5017523787576	UTC-10	n	7.104713530725943	23.153408086623635
14	1416	Llano de Chajnantor Observatory	-72.33081664035694	43.316020984266586	2212.478969098864	UTC-4	n	3.7658140471737354	22.585477226141773
16	590	European Extremely Large Telescope	-156.09474061043662	67.57891782714285	3361.469403757776	UTC-10	n	7.110477756029992	17.97497144936194
17	1191	Concordia Station	75.3792488012241	75.931600191272	2285.61505851348	UTC+5	n	7.705573214201987	15.653233944814188
17	650	Magdalena Ridge Observatory	-56.653625032646005	-60.66819441631752	5169.297709119353	UTC-3	n	1.2630175539294477	16.28614954691142
17	772	Yangbajing International Cosmic Ray Observatory	102.33475716092137	27.428307799226648	791.7255893389597	UTC+6	n	3.459866899087918	23.499692367622494
18	430	Large Latin American Millimeter Array	-47.99107582477842	-53.020787803458596	5123.4976758066	UTC-3	y	9.862687727868783	21.860548072803503
18	948	Mount Graham International Observatory	-110.33162008205252	1.2825486016415653	1472.224108026901	UTC-7	n	4.121356688949214	19.498898799202113
19	1719	Chacaltaya Astrophysical Observatory	-140.14947477601885	-74.15172260544044	2747.541615446552	UTC-9	n	4.5186864766159225	21.678692830221973
19	1646	Peak Terskol Observatory	-124.09937013704322	-70.44523336800128	4505.647266853189	UTC-8	n	6.801323995011865	24.67233280436023
20	896	Magdalena Ridge Observatory	35.734429531219924	25.083675128731212	4653.377962627193	UTC+2	n	7.957773924416371	17.21925942193081
20	640	Mauna Loa Observatory	-111.49523716660805	-70.93186810443859	1666.493317105913	UTC-7	n	6.6947362559798345	20.173785685267532
21	854	Barcroft Observatory	-47.20597328244497	57.2962967564408	2147.514284748953	UTC-3	n	4.106136116474619	24.87823309880748
21	757	Magdalena Ridge Observatory	-81.15039711582372	77.10325096206782	2166.680501057117	UTC-5	n	6.692635449785348	15.639877303859064
22	212	European Extremely Large Telescope	76.49328128669009	-12.272781934021339	1429.1277036416557	UTC+5	n	6.460544018298414	23.62490344787636
22	1147	Shiquanhe Observatory 	167.4297891169374	51.94174049417097	1765.9618121887313	UTC+11	n	5.886209027428478	24.17168060311016
22	1681	Sphinx Observatory	4.861293285760496	38.66715096662856	1597.7983559296995	UTC+0	n	8.907279648233557	17.52091764951443
23	734	Llano de Chajnantor Observatory	43.291719866645934	-32.64654676317594	3869.2834694617695	UTC+2	n	5.962430336887076	24.806243836879872
25	1655	Mauna Loa Observatory	-175.22337967031498	77.56588699799738	2936.4888876520095	UTC-11	n	3.3292402763855744	23.604623382806288
25	319	Very Long Baseline Array	86.80274925009684	21.67867470078485	2228.1795764441117	UTC+5	n	0.9278512463268896	16.921110670029126
25	364	James Ax Observatory	-104.65457920866771	23.075209031716728	3995.980405240292	UTC-6	n	8.513342042357447	23.7337706576835
26	1535	Plateau Observatory	51.103785812978344	-42.0817907295665	4051.2199403777336	UTC+3	n	0.4343267102918279	21.784931372166213
26	1387	University of Tokyo Atacama Observatory	65.51849880371603	22.823696536027054	774.3886114391057	UTC+4	n	8.743612882145642	16.840002174671678
26	1021	High Altitude Water Cherenkov Gamma-Ray Observatory	-179.60523044162045	-35.884953891921356	2666.8455447169167	UTC-11	n	3.389482256588149	15.999611777202606
27	356	Meyer-Womble Observatory	-102.2240676009083	49.2637356625919	121.23529085800553	UTC-6	n	7.9251850298809	23.47382942392549
28	979	Chacaltaya Astrophysical Observatory	164.3606722556965	71.75160359926271	108.9039524623077	UTC+10	n	0.5254988352665901	18.044931892860717
28	1933	Haleakala Observatory	-26.80805151027718	-67.9780350071363	1477.2201143486911	UTC-1	n	2.5186294716091826	23.336115177000927
