TID	Name	RA (longitude)	Dec (latitude)
0	V* V1886 Cyg                       	314.0565248468067	+36.3645438505681
1	RAFGL 2679                         	314.2225989245933	+37.4195985162652
2	V* V1895 Cyg                       	315.2012310708797	+36.5358212118804
3	V* V1896 Cyg                       	315.3321014734390	+36.4316661222768
4	V* GR Cyg                          	316.1669923247425	+37.2782183326943
5	V* V1062 Cyg                       	317.05083	+36.82436
6	V* V450 Cyg                        	314.6984773615903	+35.9417869602794
7	V* V1890 Cyg                       	314.4452130251220	+35.9674568445209
8	IRAS 20543+3656                    	314.0775596292320	+37.1404412110306
9	V* V2483 Cyg                       	317.0390150193932	+36.4720125233641
10	V* V1876 Cyg                       	313.1146903448171	+36.9099138819633
11	V* V2199 Cyg                       	314.8665546013424	+36.6508674766309
12	V* V1883 Cyg                       	313.9803496987574	+36.0201728406902
13	IRAS 20572+3522                    	314.8150975686854	+35.5675020072796
14	Mis V0106                          	315.1550825723705	+37.4818974781299
15	NSV 25425                          	315.1435754627297	+37.4934947713345
16	NSV 25451                          	315.9569908730508	+37.4278164165467
17	V* V1610 Cyg                       	315.57612	+36.69361
18	* 61 Cyg B                         	316.7302669382731	+38.7420450391424
19	V* V1233 Cyg                       	317.9458234145477	+38.2936864179588
20	V* V1229 Cyg                       	317.3462	+38.1958
21	V* V1226 Cyg                       	316.8495009795778	+38.4138109213055
22	V* V1065 Cyg                       	317.74608	+38.95361
23	V* V471 Cyg                        	316.7823190043594	+38.5681418019028
24	* tau Cyg                          	318.69788551	+38.04531782
25	V* V387 Cyg                        	318.9056679617498	+37.4976647889512
26	V* V1237 Cyg                       	319.3622997174698	+37.5796192286415
27	V* V1235 Cyg                       	318.5825668354580	+38.0162465541200
28	V* V479 Cyg                        	318.9783401141985	+38.1913473645628
29	V* V1902 Cyg                       	319.2818970121961	+37.7667536237548
30	[WWV2004] J2109439+374937          	317.4332693776047	+37.8259772289641
31	V* V1960 Cyg                       	318.1749424386881	+37.5411700171066
32	SV* R 115                          	317.0002980004171	+37.5717399480571
33	NSV 13622                          	318.8042	+38.4800
34	NSV 25487                          	317.0433061232245	+37.4713301174072
35	* 61 Cyg A                         	316.7247483752822	+38.7494158400991
36	IRC +40465                         	316.0711459803122	+37.8518524572052
37	V* V1230 Cyg                       	317.5153073651162	+36.9114596387667
38	NSV 25500                          	317.5750	+37.5833
39	NSV 25498                          	317.4000	+37.6833
40	NSV 25497                          	317.4000	+37.6833
41	NSV 25496                          	317.3750	+37.6833
42	NSV 25492                          	317.3500	+37.6833
43	NSV 25525                          	318.6000	+37.0500
