TID	Name	RA(longitude)	Dec(latitude)
0	'PN Hu 1-2                         '	323.2846129643750	39.6359790734299
1	'EO NGC 1023 170                   '	40.144680	39.090030
2	'NGC 1023                          '	40.100050	39.063250
3	'NGC 1058                          '	40.8751030180145	37.3413354842991
4	'NGC 147                           '	8.300500	48.508739
5	'NGC 185                           '	9.741542	48.337378
6	'NAME Andromeda V                  '	17.5713	47.6281
7	'NGC 891                           '	35.637112	42.348319
8	'NAME Andromeda VII                '	351.6321	50.6758
9	'PN M 1-1                          '	24.330937	50.469878
10	'NGC 1161                          '	45.30867	44.89739
11	'NGC 7026                          '	316.5773840971220	47.8518833948094
12	'IC 10                             '	5.09650	59.29297
13	'IC 1747                           '	29.3987080597163	63.3217898905825
14	'WeBo 1                            '	40.0598698543544	61.1546617465513
15	'PN M 1-4                          '	55.4309034028140	52.2834057219317
16	'NGC 6826                          '	296.2006253481130	50.5250696991003
17	'NAME Cas 1                        '	31.5329	69.0100
18	'NGC 6951                          '	309.3088256008070	66.1055772298021
19	'NGC 6703                          '	281.8284022337860	45.5506346886871
20	'NGC 6764                          '	287.068117	50.933094
21	'UGCA 86                           '	59.9558	67.1439
22	'NGC 1569                          '	67.704942	64.847922
23	'NGC 1184                          '	49.187063	80.793250
24	'IC 334                            '	56.321229	76.638261
25	'NGC 6503                          '	267.3600861321070	70.1443298251610
26	'GSC 04580-00785                   '	252.9931754758970	81.5926188562770
27	'UGC 3439                          '	95.979925	78.530114
28	'NGC 2146                          '	94.657125	78.357019
29	'7C 1724+5854                      '	261.3959252429910	58.8611101528403
30	'NGC 6359                          '	259.470917	61.780703
31	'IC 1254                           '	257.888946	72.402022
32	'NGC 6340                          '	257.604004	72.304358
33	'NGC 6217                          '	248.1634487983310	78.1981857759331
34	'NGC 2336                          '	111.766875	80.178069
35	'UGC 3580                          '	103.8790036345130	69.5631397484381
36	'IC 2166                           '	96.731788	59.080108
37	'NAME Dra dSph                     '	260.059728	57.921219
38	'NGC 6306                          '	256.903779	60.728664
39	'IC 3568                           '	188.278629	82.563597
40	'NGC 2655                          '	133.907213	78.223083
41	'NGC 2366                          '	112.21604	69.20864
42	'NGC 2273                          '	102.5361352364600	60.8457999415399
43	'UGC 8245                          '	197.151229	78.937203
44	'NGC 2544                          '	125.4180507982670	73.9883432809262
45	'NGC 2551                          '	126.2094570477740	73.4120445093491
46	'Mrk 14                            '	122.746842	72.794472
47	'HD 61091                          '	115.7858079609570	69.6827294644810
48	'UGCA 133                          '	113.5479	66.8797
49	'NGC 2403                          '	114.214150	65.602547
50	'UGC 3826                          '	111.116242	61.693933
51	'UGC 9992                          '	235.45004	67.25389
52	'NGC 5832                          '	224.44125	71.68153
53	'UGC 5814                          '	160.659317	77.494903
54	'UGC 4483                          '	129.26371	69.77478
55	'UGC 4305                          '	124.7707826121590	70.7202848901313
56	'Mrk 9                             '	114.2376106313550	58.7703977409415
57	'NGC 6229                          '	251.744337	47.526772
58	'NGC 6015                          '	237.8551628931080	62.3100634061426
59	'2MASX J15094581+6719165           '	227.4406888855020	67.3212843450488
60	'NAME UMi Galaxy                   '	227.29725	67.21436
61	'NGC 3147                          '	154.223467	73.400650
62	'NGC 3065                          '	150.4801286422290	72.1703098888472
63	'NGC 2985                          '	147.592637	72.278647
64	'UGC 5139                          '	145.13471	71.18222
65	'NGC 2787                          '	139.8275179167840	69.2032341353390
66	'UGC 4459                          '	128.53037	66.18183
67	'NGC 2344                          '	108.1194718907060	47.1667475959386
68	'LEDA 2801026                      '	243.447932	54.368958
69	'NGC 5985                          '	234.9044250917890	59.3320128240515
70	'SBSG 1543+593                     '	236.08458	59.20672
71	'UGC 7490                          '	186.10346	70.33414
72	'NGC 3516                          '	166.6977485028400	72.5686637677137
73	'UGC 5692                          '	157.65242	70.61833
74	'[PR95] 50084                      '	149.20737	68.96394
75	'NAME M81 dwB                      '	151.37683	70.36497
76	'UGC 5336                          '	149.3837	69.0461
77	'LEDA 29231                        '	151.1679	68.2556
78	'NGC 3077                          '	150.8295689628840	68.7337656017127
79	'M 82                              '	148.968458	69.679703
80	'M 81                              '	148.88822108929	69.06529470194
81	'UGC 4998                          '	141.2954809130270	68.3831023111108
82	'NGC 2976                          '	146.814408	67.916381
83	'UGC 10437                         '	247.781450	43.348042
84	'NGC 5963                          '	233.3655557149620	56.5594274862581
85	'NGC 5283                          '	205.2739531825170	67.6722210540936
86	'UGC 8201                          '	196.60354	67.70694
87	'NGC 4236                          '	184.175492	69.462569
88	'UGC 5442                          '	151.75708	67.82733
89	'IC 2574                           '	157.0984185727700	68.4120670459305
90	'UGC 5428                          '	151.2758	66.5586
91	'2E 2019                           '	129.778791	57.905137
92	'M 102                             '	226.623171	55.763308
93	'SHOC 362                          '	181.618702	67.490707
94	'NGC 4125                          '	182.025071	65.174133
95	'UGC 5918                          '	162.401718	65.533631
96	'NGC 3259                          '	158.1452686493000	65.0410911235537
97	'NGC 2768                          '	137.906267	60.037208
98	'NGC 2685                          '	133.8946067771630	58.7344104996839
99	'NGC 2500                          '	120.4715555460400	50.7371129345933
100	'NGC 5631                          '	216.6387046035830	56.5826189954220
101	'NGC 5216                          '	203.0287901962000	62.7006714334742
102	'NGC 4036                          '	180.362046	61.895700
103	'UGC 6192                          '	167.3016737478220	61.3963247005219
104	'NGC 3359                          '	161.653521	63.223639
105	'Mrk 25                            '	150.966198	59.436231
106	'LEDA 2566547                      '	145.510782	57.489071
107	'NGC 2552                          '	124.8355651472320	50.0096072954507
108	'NGC 2541                          '	123.6671268901450	49.0616829090139
109	'2MASX J08131732+4622186           '	123.322175	46.371839
110	'NGC 2537                          '	123.311013	45.989792
111	'NGC 5485                          '	211.797133	55.001519
112	'NGC 5585                          '	214.950850	56.729050
113	'NGC 3642                          '	170.575058	59.074242
114	'NGC 3073                          '	150.216842	55.618936
115	'NGC 3079                          '	150.49084758	55.67978967
